c at_least_1_color
1 2 3 4 5 6 0
7 8 9 10 11 12 0
13 14 15 16 17 18 0
19 20 21 22 23 24 0
25 26 27 28 29 30 0
31 32 33 34 35 36 0
37 38 39 40 41 42 0
43 44 45 46 47 48 0
49 50 51 52 53 54 0
c at_most_1_color
-1 -2 0
-1 -3 0
-1 -4 0
-1 -5 0
-1 -6 0
-2 -3 0
-2 -4 0
-2 -5 0
-2 -6 0
-3 -4 0
-3 -5 0
-3 -6 0
-4 -5 0
-4 -6 0
-5 -6 0
-7 -8 0
-7 -9 0
-7 -10 0
-7 -11 0
-7 -12 0
-8 -9 0
-8 -10 0
-8 -11 0
-8 -12 0
-9 -10 0
-9 -11 0
-9 -12 0
-10 -11 0
-10 -12 0
-11 -12 0
-13 -14 0
-13 -15 0
-13 -16 0
-13 -17 0
-13 -18 0
-14 -15 0
-14 -16 0
-14 -17 0
-14 -18 0
-15 -16 0
-15 -17 0
-15 -18 0
-16 -17 0
-16 -18 0
-17 -18 0
-19 -20 0
-19 -21 0
-19 -22 0
-19 -23 0
-19 -24 0
-20 -21 0
-20 -22 0
-20 -23 0
-20 -24 0
-21 -22 0
-21 -23 0
-21 -24 0
-22 -23 0
-22 -24 0
-23 -24 0
-25 -26 0
-25 -27 0
-25 -28 0
-25 -29 0
-25 -30 0
-26 -27 0
-26 -28 0
-26 -29 0
-26 -30 0
-27 -28 0
-27 -29 0
-27 -30 0
-28 -29 0
-28 -30 0
-29 -30 0
-31 -32 0
-31 -33 0
-31 -34 0
-31 -35 0
-31 -36 0
-32 -33 0
-32 -34 0
-32 -35 0
-32 -36 0
-33 -34 0
-33 -35 0
-33 -36 0
-34 -35 0
-34 -36 0
-35 -36 0
-37 -38 0
-37 -39 0
-37 -40 0
-37 -41 0
-37 -42 0
-38 -39 0
-38 -40 0
-38 -41 0
-38 -42 0
-39 -40 0
-39 -41 0
-39 -42 0
-40 -41 0
-40 -42 0
-41 -42 0
-43 -44 0
-43 -45 0
-43 -46 0
-43 -47 0
-43 -48 0
-44 -45 0
-44 -46 0
-44 -47 0
-44 -48 0
-45 -46 0
-45 -47 0
-45 -48 0
-46 -47 0
-46 -48 0
-47 -48 0
-49 -50 0
-49 -51 0
-49 -52 0
-49 -53 0
-49 -54 0
-50 -51 0
-50 -52 0
-50 -53 0
-50 -54 0
-51 -52 0
-51 -53 0
-51 -54 0
-52 -53 0
-52 -54 0
-53 -54 0
c separate_colors
55 0
-56 0
57 0
58 0
59 0
60 0
c child_colored_when_parent_colored
-1 -13 97 0
-1 13 -97 0
-1 -14 98 0
-1 14 -98 0
-1 -15 99 0
-1 15 -99 0
-1 -16 100 0
-1 16 -100 0
-1 -17 101 0
-1 17 -101 0
-1 -18 102 0
-1 18 -102 0
-2 -13 103 0
-2 13 -103 0
-2 -14 104 0
-2 14 -104 0
-2 -15 105 0
-2 15 -105 0
-2 -16 106 0
-2 16 -106 0
-2 -17 107 0
-2 17 -107 0
-2 -18 108 0
-2 18 -108 0
-3 -13 109 0
-3 13 -109 0
-3 -14 110 0
-3 14 -110 0
-3 -15 111 0
-3 15 -111 0
-3 -16 112 0
-3 16 -112 0
-3 -17 113 0
-3 17 -113 0
-3 -18 114 0
-3 18 -114 0
-4 -13 115 0
-4 13 -115 0
-4 -14 116 0
-4 14 -116 0
-4 -15 117 0
-4 15 -117 0
-4 -16 118 0
-4 16 -118 0
-4 -17 119 0
-4 17 -119 0
-4 -18 120 0
-4 18 -120 0
-5 -13 121 0
-5 13 -121 0
-5 -14 122 0
-5 14 -122 0
-5 -15 123 0
-5 15 -123 0
-5 -16 124 0
-5 16 -124 0
-5 -17 125 0
-5 17 -125 0
-5 -18 126 0
-5 18 -126 0
-6 -13 127 0
-6 13 -127 0
-6 -14 128 0
-6 14 -128 0
-6 -15 129 0
-6 15 -129 0
-6 -16 130 0
-6 16 -130 0
-6 -17 131 0
-6 17 -131 0
-6 -18 132 0
-6 18 -132 0
-1 -19 385 0
-1 19 -385 0
-1 -20 386 0
-1 20 -386 0
-1 -21 387 0
-1 21 -387 0
-1 -22 388 0
-1 22 -388 0
-1 -23 389 0
-1 23 -389 0
-1 -24 390 0
-1 24 -390 0
-2 -19 391 0
-2 19 -391 0
-2 -20 392 0
-2 20 -392 0
-2 -21 393 0
-2 21 -393 0
-2 -22 394 0
-2 22 -394 0
-2 -23 395 0
-2 23 -395 0
-2 -24 396 0
-2 24 -396 0
-3 -19 397 0
-3 19 -397 0
-3 -20 398 0
-3 20 -398 0
-3 -21 399 0
-3 21 -399 0
-3 -22 400 0
-3 22 -400 0
-3 -23 401 0
-3 23 -401 0
-3 -24 402 0
-3 24 -402 0
-4 -19 403 0
-4 19 -403 0
-4 -20 404 0
-4 20 -404 0
-4 -21 405 0
-4 21 -405 0
-4 -22 406 0
-4 22 -406 0
-4 -23 407 0
-4 23 -407 0
-4 -24 408 0
-4 24 -408 0
-5 -19 409 0
-5 19 -409 0
-5 -20 410 0
-5 20 -410 0
-5 -21 411 0
-5 21 -411 0
-5 -22 412 0
-5 22 -412 0
-5 -23 413 0
-5 23 -413 0
-5 -24 414 0
-5 24 -414 0
-6 -19 415 0
-6 19 -415 0
-6 -20 416 0
-6 20 -416 0
-6 -21 417 0
-6 21 -417 0
-6 -22 418 0
-6 22 -418 0
-6 -23 419 0
-6 23 -419 0
-6 -24 420 0
-6 24 -420 0
-1 -7 241 0
-1 7 -241 0
-1 -8 242 0
-1 8 -242 0
-1 -9 243 0
-1 9 -243 0
-1 -10 244 0
-1 10 -244 0
-1 -11 245 0
-1 11 -245 0
-1 -12 246 0
-1 12 -246 0
-2 -7 247 0
-2 7 -247 0
-2 -8 248 0
-2 8 -248 0
-2 -9 249 0
-2 9 -249 0
-2 -10 250 0
-2 10 -250 0
-2 -11 251 0
-2 11 -251 0
-2 -12 252 0
-2 12 -252 0
-3 -7 253 0
-3 7 -253 0
-3 -8 254 0
-3 8 -254 0
-3 -9 255 0
-3 9 -255 0
-3 -10 256 0
-3 10 -256 0
-3 -11 257 0
-3 11 -257 0
-3 -12 258 0
-3 12 -258 0
-4 -7 259 0
-4 7 -259 0
-4 -8 260 0
-4 8 -260 0
-4 -9 261 0
-4 9 -261 0
-4 -10 262 0
-4 10 -262 0
-4 -11 263 0
-4 11 -263 0
-4 -12 264 0
-4 12 -264 0
-5 -7 265 0
-5 7 -265 0
-5 -8 266 0
-5 8 -266 0
-5 -9 267 0
-5 9 -267 0
-5 -10 268 0
-5 10 -268 0
-5 -11 269 0
-5 11 -269 0
-5 -12 270 0
-5 12 -270 0
-6 -7 271 0
-6 7 -271 0
-6 -8 272 0
-6 8 -272 0
-6 -9 273 0
-6 9 -273 0
-6 -10 274 0
-6 10 -274 0
-6 -11 275 0
-6 11 -275 0
-6 -12 276 0
-6 12 -276 0
-1 -7 205 0
-1 7 -205 0
-1 -8 206 0
-1 8 -206 0
-1 -9 207 0
-1 9 -207 0
-1 -10 208 0
-1 10 -208 0
-1 -11 209 0
-1 11 -209 0
-1 -12 210 0
-1 12 -210 0
-2 -7 211 0
-2 7 -211 0
-2 -8 212 0
-2 8 -212 0
-2 -9 213 0
-2 9 -213 0
-2 -10 214 0
-2 10 -214 0
-2 -11 215 0
-2 11 -215 0
-2 -12 216 0
-2 12 -216 0
-3 -7 217 0
-3 7 -217 0
-3 -8 218 0
-3 8 -218 0
-3 -9 219 0
-3 9 -219 0
-3 -10 220 0
-3 10 -220 0
-3 -11 221 0
-3 11 -221 0
-3 -12 222 0
-3 12 -222 0
-4 -7 223 0
-4 7 -223 0
-4 -8 224 0
-4 8 -224 0
-4 -9 225 0
-4 9 -225 0
-4 -10 226 0
-4 10 -226 0
-4 -11 227 0
-4 11 -227 0
-4 -12 228 0
-4 12 -228 0
-5 -7 229 0
-5 7 -229 0
-5 -8 230 0
-5 8 -230 0
-5 -9 231 0
-5 9 -231 0
-5 -10 232 0
-5 10 -232 0
-5 -11 233 0
-5 11 -233 0
-5 -12 234 0
-5 12 -234 0
-6 -7 235 0
-6 7 -235 0
-6 -8 236 0
-6 8 -236 0
-6 -9 237 0
-6 9 -237 0
-6 -10 238 0
-6 10 -238 0
-6 -11 239 0
-6 11 -239 0
-6 -12 240 0
-6 12 -240 0
-1 -7 349 0
-1 7 -349 0
-1 -8 350 0
-1 8 -350 0
-1 -9 351 0
-1 9 -351 0
-1 -10 352 0
-1 10 -352 0
-1 -11 353 0
-1 11 -353 0
-1 -12 354 0
-1 12 -354 0
-2 -7 355 0
-2 7 -355 0
-2 -8 356 0
-2 8 -356 0
-2 -9 357 0
-2 9 -357 0
-2 -10 358 0
-2 10 -358 0
-2 -11 359 0
-2 11 -359 0
-2 -12 360 0
-2 12 -360 0
-3 -7 361 0
-3 7 -361 0
-3 -8 362 0
-3 8 -362 0
-3 -9 363 0
-3 9 -363 0
-3 -10 364 0
-3 10 -364 0
-3 -11 365 0
-3 11 -365 0
-3 -12 366 0
-3 12 -366 0
-4 -7 367 0
-4 7 -367 0
-4 -8 368 0
-4 8 -368 0
-4 -9 369 0
-4 9 -369 0
-4 -10 370 0
-4 10 -370 0
-4 -11 371 0
-4 11 -371 0
-4 -12 372 0
-4 12 -372 0
-5 -7 373 0
-5 7 -373 0
-5 -8 374 0
-5 8 -374 0
-5 -9 375 0
-5 9 -375 0
-5 -10 376 0
-5 10 -376 0
-5 -11 377 0
-5 11 -377 0
-5 -12 378 0
-5 12 -378 0
-6 -7 379 0
-6 7 -379 0
-6 -8 380 0
-6 8 -380 0
-6 -9 381 0
-6 9 -381 0
-6 -10 382 0
-6 10 -382 0
-6 -11 383 0
-6 11 -383 0
-6 -12 384 0
-6 12 -384 0
-1 -7 61 0
-1 7 -61 0
-1 -8 62 0
-1 8 -62 0
-1 -9 63 0
-1 9 -63 0
-1 -10 64 0
-1 10 -64 0
-1 -11 65 0
-1 11 -65 0
-1 -12 66 0
-1 12 -66 0
-2 -7 67 0
-2 7 -67 0
-2 -8 68 0
-2 8 -68 0
-2 -9 69 0
-2 9 -69 0
-2 -10 70 0
-2 10 -70 0
-2 -11 71 0
-2 11 -71 0
-2 -12 72 0
-2 12 -72 0
-3 -7 73 0
-3 7 -73 0
-3 -8 74 0
-3 8 -74 0
-3 -9 75 0
-3 9 -75 0
-3 -10 76 0
-3 10 -76 0
-3 -11 77 0
-3 11 -77 0
-3 -12 78 0
-3 12 -78 0
-4 -7 79 0
-4 7 -79 0
-4 -8 80 0
-4 8 -80 0
-4 -9 81 0
-4 9 -81 0
-4 -10 82 0
-4 10 -82 0
-4 -11 83 0
-4 11 -83 0
-4 -12 84 0
-4 12 -84 0
-5 -7 85 0
-5 7 -85 0
-5 -8 86 0
-5 8 -86 0
-5 -9 87 0
-5 9 -87 0
-5 -10 88 0
-5 10 -88 0
-5 -11 89 0
-5 11 -89 0
-5 -12 90 0
-5 12 -90 0
-6 -7 91 0
-6 7 -91 0
-6 -8 92 0
-6 8 -92 0
-6 -9 93 0
-6 9 -93 0
-6 -10 94 0
-6 10 -94 0
-6 -11 95 0
-6 11 -95 0
-6 -12 96 0
-6 12 -96 0
-1 -7 457 0
-1 7 -457 0
-1 -8 458 0
-1 8 -458 0
-1 -9 459 0
-1 9 -459 0
-1 -10 460 0
-1 10 -460 0
-1 -11 461 0
-1 11 -461 0
-1 -12 462 0
-1 12 -462 0
-2 -7 463 0
-2 7 -463 0
-2 -8 464 0
-2 8 -464 0
-2 -9 465 0
-2 9 -465 0
-2 -10 466 0
-2 10 -466 0
-2 -11 467 0
-2 11 -467 0
-2 -12 468 0
-2 12 -468 0
-3 -7 469 0
-3 7 -469 0
-3 -8 470 0
-3 8 -470 0
-3 -9 471 0
-3 9 -471 0
-3 -10 472 0
-3 10 -472 0
-3 -11 473 0
-3 11 -473 0
-3 -12 474 0
-3 12 -474 0
-4 -7 475 0
-4 7 -475 0
-4 -8 476 0
-4 8 -476 0
-4 -9 477 0
-4 9 -477 0
-4 -10 478 0
-4 10 -478 0
-4 -11 479 0
-4 11 -479 0
-4 -12 480 0
-4 12 -480 0
-5 -7 481 0
-5 7 -481 0
-5 -8 482 0
-5 8 -482 0
-5 -9 483 0
-5 9 -483 0
-5 -10 484 0
-5 10 -484 0
-5 -11 485 0
-5 11 -485 0
-5 -12 486 0
-5 12 -486 0
-6 -7 487 0
-6 7 -487 0
-6 -8 488 0
-6 8 -488 0
-6 -9 489 0
-6 9 -489 0
-6 -10 490 0
-6 10 -490 0
-6 -11 491 0
-6 11 -491 0
-6 -12 492 0
-6 12 -492 0
-1 -7 133 0
-1 7 -133 0
-1 -8 134 0
-1 8 -134 0
-1 -9 135 0
-1 9 -135 0
-1 -10 136 0
-1 10 -136 0
-1 -11 137 0
-1 11 -137 0
-1 -12 138 0
-1 12 -138 0
-2 -7 139 0
-2 7 -139 0
-2 -8 140 0
-2 8 -140 0
-2 -9 141 0
-2 9 -141 0
-2 -10 142 0
-2 10 -142 0
-2 -11 143 0
-2 11 -143 0
-2 -12 144 0
-2 12 -144 0
-3 -7 145 0
-3 7 -145 0
-3 -8 146 0
-3 8 -146 0
-3 -9 147 0
-3 9 -147 0
-3 -10 148 0
-3 10 -148 0
